vendor_id,name,event_types,city,min_budget,max_budget,rating,contact
1,Royal Events,"conference,birthday,anniversary",Bengaluru,1000,34434,4.5,royalevents@example.com
2,Mega Decor,"corporate,wedding,anniversary",Delhi,2000,50657,3.8,megadecor@example.com
3,Charming Events,"birthday,anniversary,concert",Pune,3000,51893,4.2,charmingevents@example.com
4,Bright Events,anniversary,Pune,4000,68597,3.9,brightevents@example.com
5,Fusion Flair,wedding,Pune,5000,37676,4.0,fusionflair@example.com
6,Golden Galaxy,"exhibition,wedding",Jaipur,6000,96284,3.7,goldengalaxy@example.com
7,Sky Decor,"conference,anniversary,concert",Hyderabad,7000,102674,3.8,skydecor@example.com
8,Royal Events,"birthday,conference,wedding",Chennai,8000,41238,4.1,royalevents@example.com
9,Urban Flair,conference,Hyderabad,9000,56460,4.5,urbanflair@example.com
10,Royal Galaxy,"birthday,concert,exhibition",Bengaluru,10000,90589,4.1,royalgalaxy@example.com
11,Mega Venues,"conference,wedding,birthday",Mumbai,11000,72347,4.1,megavenues@example.com
12,Royal Venues,"anniversary,conference,birthday",Jaipur,12000,83856,4.8,royalvenues@example.com
13,Urban Catering,"birthday,exhibition",Kolkata,13000,109622,4.1,urbancatering@example.com
14,Charming Beats,"birthday,exhibition",Jaipur,14000,45915,4.6,charmingbeats@example.com
15,Royal Catering,"birthday,anniversary,corporate",Delhi,15000,85432,4.1,royalcatering@example.com
16,Urban Vibes,"concert,wedding",Delhi,16000,106381,4.6,urbanvibes@example.com
17,Golden Decor,"corporate,birthday",Jaipur,17000,37425,4.9,goldendecor@example.com
18,Bright Vibes,concert,Delhi,18000,77117,4.8,brightvibes@example.com
19,Mega Galaxy,birthday,Hyderabad,19000,60174,4.3,megagalaxy@example.com
20,Mega Events,"conference,corporate,wedding",Delhi,20000,87576,4.8,megaevents@example.com
21,Bright Venues,birthday,Delhi,21000,52226,4.6,brightvenues@example.com
22,Royal Vibes,birthday,Jaipur,22000,114063,3.7,royalvibes@example.com
23,Mega Galaxy,"birthday,concert",Chennai,23000,83857,4.1,megagalaxy@example.com
24,Golden Bash,"corporate,wedding,birthday",Chennai,24000,52392,4.0,goldenbash@example.com
25,Charming Vibes,concert,Chennai,25000,45942,3.6,charmingvibes@example.com
26,Elite Venues,wedding,Hyderabad,26000,55287,4.3,elitevenues@example.com
27,Bright Bash,concert,Bengaluru,27000,121847,4.4,brightbash@example.com
28,Fusion Bash,"birthday,wedding",Delhi,28000,104498,4.0,fusionbash@example.com
29,Sky Bash,"wedding,anniversary,exhibition",Mumbai,29000,101772,4.6,skybash@example.com
30,Royal Venues,birthday,Jaipur,30000,68373,4.1,royalvenues@example.com
31,Bright Bash,exhibition,Delhi,31000,109082,4.7,brightbash@example.com
32,Mega Decor,anniversary,Mumbai,32000,64224,4.9,megadecor@example.com
33,Fusion Catering,"corporate,exhibition",Chennai,33000,105565,4.9,fusioncatering@example.com
34,Happy Beats,corporate,Kolkata,34000,113638,3.9,happybeats@example.com
35,Mega Bash,birthday,Kolkata,35000,83534,5.0,megabash@example.com
36,Charming Vibes,anniversary,Hyderabad,36000,63492,3.6,charmingvibes@example.com
37,Urban Vibes,"birthday,wedding,concert",Delhi,37000,81356,3.6,urbanvibes@example.com
38,Royal Venues,"wedding,concert",Chennai,38000,133880,4.4,royalvenues@example.com
39,Charming Decor,"anniversary,concert",Hyderabad,39000,93179,3.8,charmingdecor@example.com
40,Golden Venues,"corporate,birthday",Kolkata,40000,119929,4.0,goldenvenues@example.com
41,Royal Events,"concert,exhibition",Delhi,41000,70602,4.3,royalevents@example.com
42,Mega Moments,conference,Delhi,42000,94018,4.1,megamoments@example.com
43,Happy Bash,"anniversary,conference,concert",Mumbai,43000,135692,3.9,happybash@example.com
44,Royal Catering,"wedding,exhibition",Bengaluru,44000,99697,3.9,royalcatering@example.com
45,Fusion Flair,anniversary,Kolkata,45000,131244,4.2,fusionflair@example.com
46,Elite Decor,"corporate,conference,wedding",Mumbai,46000,109719,4.7,elitedecor@example.com
47,Bright Catering,"corporate,concert,exhibition",Mumbai,47000,81663,3.6,brightcatering@example.com
48,Happy Vibes,exhibition,Hyderabad,48000,144350,4.3,happyvibes@example.com
49,Sky Catering,conference,Hyderabad,49000,74229,4.8,skycatering@example.com
50,Fusion Venues,"wedding,conference,concert",Pune,50000,90257,4.9,fusionvenues@example.com
51,Fusion Catering,corporate,Mumbai,51000,94509,4.6,fusioncatering@example.com
52,Golden Beats,"exhibition,anniversary,birthday",Kolkata,52000,92866,4.7,goldenbeats@example.com
53,Royal Beats,exhibition,Jaipur,53000,102154,3.8,royalbeats@example.com
54,Urban Flair,"exhibition,birthday",Chennai,54000,77101,4.5,urbanflair@example.com
55,Sky Flair,"exhibition,wedding",Kolkata,55000,121025,4.5,skyflair@example.com
56,Sky Vibes,"wedding,exhibition",Kolkata,56000,99405,4.4,skyvibes@example.com
57,Bright Events,concert,Pune,57000,122309,4.6,brightevents@example.com
58,Golden Beats,"concert,wedding,corporate",Chennai,58000,111386,3.6,goldenbeats@example.com
59,Sky Events,"exhibition,concert,birthday",Hyderabad,59000,135531,3.6,skyevents@example.com
60,Golden Galaxy,"anniversary,wedding",Kolkata,60000,146469,4.0,goldengalaxy@example.com
61,Sky Flair,"anniversary,conference",Bengaluru,61000,106144,4.1,skyflair@example.com
62,Sky Catering,"concert,conference,corporate",Mumbai,62000,121829,3.9,skycatering@example.com
63,Sky Galaxy,"anniversary,conference,corporate",Jaipur,63000,140954,4.5,skygalaxy@example.com
64,Mega Bash,"birthday,anniversary,wedding",Kolkata,64000,151561,4.5,megabash@example.com
65,Charming Flair,exhibition,Chennai,65000,125687,3.8,charmingflair@example.com
66,Fusion Catering,wedding,Chennai,66000,148277,4.4,fusioncatering@example.com
67,Royal Bash,"anniversary,concert",Chennai,67000,137328,4.2,royalbash@example.com
68,Fusion Catering,"anniversary,wedding,exhibition",Pune,68000,116683,3.8,fusioncatering@example.com
69,Mega Bash,concert,Chennai,69000,104906,4.2,megabash@example.com
70,Urban Vibes,"concert,conference,corporate",Pune,70000,161810,4.2,urbanvibes@example.com
71,Happy Bash,"conference,birthday",Kolkata,71000,159327,4.2,happybash@example.com
72,Fusion Moments,"wedding,anniversary",Kolkata,72000,122735,3.9,fusionmoments@example.com
73,Golden Vibes,birthday,Bengaluru,73000,123311,4.1,goldenvibes@example.com
74,Happy Venues,corporate,Pune,74000,137369,4.3,happyvenues@example.com
75,Sky Events,exhibition,Pune,75000,146049,4.9,skyevents@example.com
76,Charming Events,"corporate,exhibition,wedding",Hyderabad,76000,135139,4.6,charmingevents@example.com
77,Sky Vibes,"anniversary,concert,exhibition",Chennai,77000,160993,3.8,skyvibes@example.com
78,Sky Bash,corporate,Hyderabad,78000,150994,4.6,skybash@example.com
79,Urban Catering,"concert,wedding,corporate",Mumbai,79000,110003,4.5,urbancatering@example.com
80,Happy Bash,wedding,Kolkata,80000,149689,4.0,happybash@example.com
81,Urban Flair,"exhibition,corporate",Kolkata,81000,156255,3.9,urbanflair@example.com
82,Royal Bash,anniversary,Mumbai,82000,147870,3.8,royalbash@example.com
83,Royal Events,birthday,Chennai,83000,105671,4.4,royalevents@example.com
84,Fusion Catering,"anniversary,wedding",Chennai,84000,164952,4.5,fusioncatering@example.com
85,Golden Catering,"concert,anniversary,wedding",Bengaluru,85000,145768,3.7,goldencatering@example.com
86,Elite Moments,"anniversary,corporate,exhibition",Chennai,86000,115961,4.4,elitemoments@example.com
87,Fusion Decor,"exhibition,conference,concert",Delhi,87000,181177,4.7,fusiondecor@example.com
88,Golden Vibes,"anniversary,conference",Delhi,88000,174317,4.5,goldenvibes@example.com
89,Elite Beats,"wedding,corporate",Hyderabad,89000,169258,4.6,elitebeats@example.com
90,Sky Catering,"concert,anniversary,conference",Jaipur,90000,170931,4.2,skycatering@example.com
